EpokaTXT|Epoka:|Age:|Эпоха:|Епоха:;
PoziomEpokiTXT|Poziom Epoki:|Age level:|Уровень эпохи:|Рівень епохи:;
Skrzynka3|Skrzynka 3|Box 3|Сундук:|Скриня:;
PlayButton|Graj|Play:|Играть:|Грати:;
SkrocenieCzasuSkrzynkiTXTButton|Szybsze otwarcie|Faster box|Ускоренное открытие|Швидше відкриття;
OptionsButton|Opcje| Options|Настройки|Налааштування;
ReklamyButtonMenu|Reklamy|Ads|Реклама|Реклама;
ObrażeniaNPC|OBRAŻENIA:|DAMAGE:|Повреждения:|Пошкодження:;
OptionsTitle|OPCJE|OPTIONS|Настройки|Налаштування;
ObrażeniaBudynek|OBRAŻENIA:|DAMAGE:|Повреждения:|Пошкодження:;
DAtak|Dodaj Atak|Power Atack|Атакуй|Атакуй;
ReklamaS3|Reklama 3|Ad 3|Реклама 3|Реклама 3;
title_Głośność|Głośność muzyki|Music volume|Громкость музыки|Гучність музики;
WymaganyPoziom|POZIOM:| LEVEL:|УРОВЕНЬ|Рівень:;
Skrzynka1|Skrzynka 1|Box 1|Сундук 1|Скриня 1;
DodatkowaNagrodaTXTButton|Dod nagroda|Ad Reward|Дополнительная награда|Додаткова нагорода;
ZmianaJezyka|Zmień Język|Change language|Изменить язык|Змінити мову;
CreditsyTextButton|Napisy|Credits|Титры|Титри;
WzmotnijZycie|Dodaj Życie|Enchant health|Продлить жизнь|Додати життя;
NagrodaTEXT|Nagroda:|Reward:|Награда:|Нагорода:;
ReklamaZaWyzszaNagrode|Podwój nagrodę|Double reward|Удвоить награду|Подвоїти нагороду;
WróćZPoGraj|Wróć|Back|Назад|Назад;
WróćZPoGrajCredits|Wróć|Back|Назад|Назад;
WróćZPoGrajRek|Wróć|Back|Назад|Назад;
BilansTXT|BILANS:|BALANCE:|БАЛАНС:|БАЛАНС:;
BadaniaTXT|BADANIA:|INVENTIONS:|ИЗОБРЕТЕНИЯ:|ВИНАХОДИ;
RozwójTXT|ROZWÓJ:|IMPROVERMENTS:|УЛУЧШЕНИЯ:|ПОЛІПШЕННЯ:;
BudowaTXT|BUDOWA:|BUILDINGS:|ЗДАНИЯ:|БУДІВЕЛІ:;
NaprawaTXT|NAPRAWA:|REPAIR:|РЕМОНТ:|РЕМОНТ:;
ZyskZWrogówTXT|Z WROGÓW:|FROM ENEMY:|ОТ ВРАГА:|ВІД ВРАГА:;
ZaPoziomTXT|ZA POZIOM:|FOR THE LEVEL:|ДЛЯ УРОВНЯ:|НА РІВЕНЬ:;
QuitButton|Wyjdź|Quit|Выйти|Вихід;
IlHPBudynek|PUNKTY ŻYCIA:|HEALTH POINTS|Очки жизни|Пункти життя:;
ObrażeniaBudynek|OBRAŻENIA:|DAMAGE|Повреждения|Ушкодження:;
ResumeButton|Wznów|Resume|Продолжить|Продовжити;
title_graphics|Grafika|Graphic|Графика|Графіка;
CudOcaleniaTXTButton|Cud ocalenia|Salavation|Исцеление|Зцілення;
KosztBudynekPanelBudynków|KOSZT KUPNA:|BUY COST:|Цена покупки:|Ціна покупки:;
KosztBadaniaBudynekPanelBudynków|KOSZT BADANIA:|DISCOVER COST:|Цена исследования:|Ціна досліду:;
LicznikFPS|Licznik FPS|FPS Counter|Счетчик FPS|Показник FPS;
